ID,域,グループ,言語,全著者名,標題,掲載誌名,巻,号,開始ページ,終了ページ,出版年月日,DOI,PubmedID,業績種別,業績詳細種別,査読,責任著者,,IF
80,臨床医学域,橋渡し・臨床研究学,eng,"Yamaguchi, Yusuke; Ueno, Mai; Maruo, Kazushi; Gosho, Masahiko",Multiple imputation for longitudinal data in the presence of heteroscedasticity between treatment groups,JOURNAL OF BIOPHARMACEUTICAL STATISTICS,30,1,178,196,2019-06,10.1080/10543406.2019.1632878,31257987,論文,学術雑誌,1,0,,0.601
106,保健医療学域,臨床試験・臨床疫学,eng,"Yamaguchi, Yusuke; Ueno, Mai; Maruo, Kazushi; Gosho, Masahiko",Multiple imputation for longitudinal data in the presence of heteroscedasticity between treatment groups,JOURNAL OF BIOPHARMACEUTICAL STATISTICS,Early Access,,,,2019-06,10.1080/10543406.2019.1632878,31257987,論文,学術雑誌,1,1,,0.601
105,保健医療学域,ヘルスサービスリサーチ,eng,"Yamasaki, Yukie; Tamiya, Nanako; Yamamoto, Hideki; Miyaishi, Satoru","Unintentional Injury Deaths among Children: A Descriptive Study Using Medico-legal Documents in Okayama Prefecture, Japan (2001-2015)",ACTA MEDICA OKAYAMA,73,2,117,125,2019-04,10.18926/AMO/56647,31015746,論文,学術雑誌,1,0,,0.642
80,臨床医学域,橋渡し・臨床研究学,eng,"Uozumi, Ryuji; Yada, Shinjo; Maruo, Kazushi; Kawaguchi, Atsushi",Confidence intervals for difference between two binomial proportions derived from logistic regression,COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION,Epub,,,,2020-01,10.1080/03610918.2019.1710195,,論文,学術雑誌,1,0,,0.651
106,保健医療学域,臨床試験・臨床疫学,eng,"Uozumi, Ryuji; Yada, Shinjo; Maruo, Kazushi; Kawaguchi, Atsushi",Confidence intervals for difference between two binomial proportions derived from logistic regression,COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION,Epub,,,,2020-01,10.1080/03610918.2019.1710195,,論文,学術雑誌,1,0,,0.651
33,生命医科学域,ケミカルバイオロジー・IT創薬,eng,"Hong Nhung, Nguyen; Suzuki, Koya; Kimura, Yasuaki; Hirokawa, Takatsugu; Murakami-Tonami, Yuko; Abe, Hiroshi",SYNTHESIS AND BIOLOGICAL EVALUATION OF NMDI14 DERIVATIVES AS ANTI-MESOTHELIOMA AGENTS,HeteroCycles,100,2,253,266,2020-02,10.3987/COM-19-14191,,論文,学術雑誌,1,0,,0.668
24,生命医科学域,医学物理学,eng,"Sato, Tatsuhiko; Masunaga, Shin-Ichiro; Kumada, Hiroaki; Hamada, Nobuyuki",DEPTH DISTRIBUTIONS OF RBE-WEIGHTED DOSE and PHOTON-ISOEFFECTIVE DOSE FOR BORON NEUTRON CAPTURE THERAPY,Radiation protection dosimetry,183,1-2,247,250,2019-05,10.1093/rpd/ncy235,30535354,論文,学術雑誌,1,0,,0.773
56,臨床医学域,脳神経外科学,eng,"Kawauchi, Satoru;Chida, Koichi;Moritake, Takashi;Hamada, Yusuke;Matsumaru, Yuji;Tsuruta, Wataro;Sato, Masayuki;Hosoo, Hisayuki;Sun, Lue",TREATMENT OF INTERNAL CAROTID ANEURYSMS USING PIPELINE EMBOLIZATION DEVICES: MEASURING THE RADIATION DOSE OF THE PATIENT AND DETERMINING THE FACTORS AFFECTING IT,RADIATION PROTECTION DOSIMETRY,188,3,389,396,2020-03,10.1093/rpd/ncz298,31922569,論文,学術雑誌,1,0,,0.773
39,臨床医学域,腎臓内科学,eng,"Suzuki, R;Nakamiya, Y;Watanabe, M;Ando, E;Tanichi, M;Koga, M;Kohno, K;Usui, J;Yamagata, K;Ohkohchi, N;Toda, H;Saito, T;Yoshino, A;Takahara, S;Yamauchi, K;Yuzawa, K",Relationship Between Stress Coping Mechanisms and Depression in Kidney Transplant Recipients,Transplantation proceedings,51,3,761,767,2019-04,10.1016/j.transproceed.2018.12.034,30979461,論文,学術雑誌,1,0,,0.784
44,臨床医学域,循環器内科学,eng,"Ishizu, Tomoko; Hamaguchi, Hirotoshi; Nitta, Naotaka; Seo, Yoshihiro; Matsuo, Hiroshi; Shiina, Tsuyoshi",Intervendor variability of carotid intima-media thickness measurement: validation study using newly developed ultrasound phantom,JOURNAL OF MEDICAL ULTRASONICS,47,2,155,165,2020-03,10.1007/s10396-019-00995-7,32067178,論文,学術雑誌,1,1,,0.898
